$combined_keywords$Category_bin
414$cell phones/*instrumentation/utilization; diabetes mellitus/blood/*therapy; equipment design/*methods/trends; humans; information systems/instrumentation/trends; learning/physiology; models, biological; telemedicine/*methods/utilization; text messaging/instrumentation/utilization;mobile health applications to assist patients with diabetes: lessons learned and design implications;self-management is critical to achieving diabetes treatment goals. mobile phones and bluetooth(r) can supportself-management and lifestyle changes for chronic diseases such as diabetes. a mobile health (mhealth) research platform--the few touch application (fta)--is a tool designed to support the self-management of diabetes. the fta consists of a mobile phone-based diabetes diary, which can be updated both manually from user input and automatically by wireless data transfer, and which provides personalized decision support for the achievement of personal health goals. studies and applications (apps) based on ftas have included: (1) automatic transfer of blood glucose (bg) data; (2) short message service (sms)-based education for type 1diabetes (t1dm); (3) a diabetes diary for type 2 diabetes (t2dm); (4) integrating a patient diabetes diary with health care (hc) providers; (5) a diabetes diary for t1dm; (6) a food picture diary for t1dm; (7) physical activity monitoring for t2dm; (8) nutrition information for t2dm; (9) context sensitivity in mobile self-help tools; and (10) modeling of bg using mobile phones. we have analyzed the performance of these 10 fta-based apps to identify lessons for designing the most effective mhealth apps. from each of the 10 apps of fta, respectively, we conclude: (1) automatic bg data transfer is easy to use and provides reassurance; (2) sms-based education facilitates parent-child communication in t1dm; (3) the t2dm mobile phone diary encourages reflection; (4) the mobile phone diary enhances discussion between patients and hc professionals; (5) the t1dm mobile phone diary is useful and motivational; (6) the t1dm mobile phone picture diary is useful in identifying treatment obstacles; (7) the step counter with automatic data transfer promotes motivation and increases physical activity in t2dm; (8) food information on a phone for t2dm should not be at a detailed level; (9) context sensitivity has good prospects and is possible to implement on today's phones; and (10) bg modeling on mobile phones is promising for motivated t1dm users. we expect that the following elements will be important in future fta designs: (a) automatic data transfer when possible; (b) motivational and visual user interfaces; (c) apps with considerable health benefits in relation to the effort required; (d) dynamic usage, e.g., both personal and together with hc personnel, long-/short-term perspective; and (e) inclusion of context sensitivity in apps. we conclude that mhealth apps will empower patients to take a more active role in managing their own health.$1
415$cell phones/*standards; confidentiality; cross-sectional studies; *emergencies; emergency medical service communication systems/*standards; emergency medical services/organization & administration; female; humans; male; norway; *security measures; video recording/*standards;video calls from lay bystanders to dispatch centers - risk assessment of information security;background: video calls from mobile phones can improve communication during medical emergencies. lay bystanders can be instructed and supervised by health professionals at emergency medical communication centers. before implementation of video mobile calls in emergencies, issues of information security should be addressed. methods: information security was assessed for risk, based on the information security standard iso/iec 27005:2008. a multi-professional team used structured brainstorming to find threats to the information security aspects confidentiality, quality, integrity, and availability. results: twenty security threats of different risk levels were identified and analyzed. solutions were proposed to reduce the risk level. conclusions: given proper implementation, we found no risks to information security that would advocate against the use of video calls between lay bystanders and emergency medical communication centers. the identified threats should be used as input to formal requirements when planning and implementing video calls from mobile phones for these call centers.$1
416$cellular telephone systems; recommender systems; search engines; smartphones; telephone sets; backend system; information resource; personalizations; user activity; user information; user profiling; user's interest; user's needs; near field communication;user profiling through nfc interactions: mining nfc-based user information from mobile devices and back-end systems;with the myriad of information resources available on the web, personalization has become important to facilitate information retrieval and recommender systems that provide information and services adapted to the user's needs. a crucial component in any personalization approach is the availability of a user profile that reects the user's interests, behaviour and intention. in this paper we exploit the fact that for many people the mobile phone is a close companion that follows the person everywhere and is used for many different tasks in the person's daily life. in particular, we focus on mining user activities on nfc-based services to collect information that can be included in a user profile. the paper describes the process of mining usage information from multiple nfc-based applications, both on a smart phone and on back-end systems. we also describe our experiments that lead to and support mining of nfc-based user information. © 2016 acm.$0
417$center of pressure; fractal; postural control; postural sway; scale invariance; center-of-mass; force plate; ground reaction forces; highly-correlated; human postures; intermittent phase; local scaling; monte carlo; phase coupling; surrogate tests; temporal scale; temporal variation; biophysics; control; fractals; monte carlo methods; couplings; adult; article; body equilibrium; body posture; center of mass movement; controlled study; female; fractal analysis; gravitational line; ground reaction force; human; human experiment; male; monte carlo method; movement (physiology); normal human; physical parameters; priority journal; standing; task performance; adolescent; humans; models, biological; motion; posture;the influence of center-of-mass movements on the variation in the structure of human postural sway;the present article investigates the influence of center-of-mass movements on the variation of the structure in human postural sway. twelve healthy younger persons performed 60s quiet standing, 60s relaxed standing, and 10min relaxed standing on two force plates. center-of-pressure (cop) and gravitational line (gl) profiles were calculated from the ground reaction forces and moments. the temporal variation of cop structure was calculated by the local scaling exponent ht and a monte carlo surrogate test was used to identify phase couplings between temporal scales. the range of variation of ht was significantly larger in relaxed standing compared to quiet standing (p&lt;0.00001) and highly correlated with the range of gl movements (r&gt;0.76, p&lt;0.001). however, the variation in ht was not generated by the gl movements because the cop-gl traces was close to identical variation in ht (r&gt;0.95, p&lt;0.00001). the monte carlo surrogate test indicated the presence of intermittent phase couplings between the temporal scales of both cop traces and the cop-gl residuals in the periods with gl movements. the present results suggest that human posture is controlled by intermittent phase coupling of the cop and gl movements. furthermore, the investigation of the variation in cop structure might extend existing theories of changes in postural control for example older persons and patients with a neurodegenerative disease. © 2012 elsevier ltd.$0
418$certificate authority; electronic medical record; public-key infrastructure; secure multi-party computation; security and privacy issues; toolsets; algorithms; hospitals; medical computing; public key cryptography; statistical methods; data handling;an implementation of secure multi-party computations to preserve privacy when processing emr data;the combination of secure multi-party computations (smc) algorithms, encryption, public key infrastructure (pki), certificates, and a certificate authority (ca) is used to implement an infrastructure and a toolset for statistical analysis of electronic medical record (emr) data. emr data are typically located at different general practices and hospitals. these general practices and hospitals are considered nodes in a computing graph. the infrastructure and toolset has to take into consideration legal, security and privacy issues involved in statistical analysis of such data. the described approach tries to support a wide range of possible smc algorithms and computing graphs. © 2013 ieee.$1
419$certification; clinical competence/*standards; education, nursing, continuing/*methods; humans; *internet; interviews as topic; nursing care/*standards; pilot projects;web-based learning resources - new opportunities for competency development;creating web-based learning environments holds great promise for on the job training and competence development in nursing. the web-based learning environment was designed and customized by four professional development nurses. we interviewed five rns that pilot tested the web-based resource. our findings give some insight into how the web-based design tool are perceived and utilized, and how content is represented in the learning environment. from a competency development perspective, practicing authentic tasks in a web-based learning environment can be useful to train skills and keep up important routines. the approach found in this study also needs careful consideration. emphasizing routines and skills can be important to reduce variation and ensure more streamlined practice from an institution-wide quality improvement efforts. how the emphasis on routines and skills plays out towards the individual's overall professional development needs further careful studies.$0
420$certification; professional development; simulation; web-based learning; article; computer interface; education; health services research; hospital personnel; in service training; internet; norway; education, distance; inservice training; organizational case studies; personnel, hospital; user-computer interface;interactive elearning - a safe place to practice;interactive web-based learning environment offers refreshing opportunities to create innovative solutions to explore and exploit informatics support on-the-job training. we report from a study where a hospital is created a interactive elearning resource. the modules are creating a safe place to practice - to be used for introduction to the work and preparation for certification or re-certification of competencies. © 2009 the authors and ios press. all rights reserved.$0
421$cfir; consolidated framework for implementation research; ehealth; electronic mail; implementation; internet; qualitative research; secure web communication; clinical study; clinical trial; controlled clinical trial; controlled study; dietitian; doctor patient relation; hospital; human; interview; multicenter study; nurse; adult; female; health care personnel; interpersonal communication; male; middle aged; utilization; communication; health personnel; humans;using the consolidated framework for implementation research to identify barriers and facilitators for the implementation of an internet-based patient-provider communication service in five settings: a qualitative study;background: although there is growing evidence of the positive effects of internet-based patient-provider communication (ippc) services for both patients and health care providers, their implementation into clinical practice continues to be a challenge. objective: the 3 aims of this study were to (1) identify and compare barriers and facilitators influencing the implementation of an ippc service in 5 hospital units using the consolidated framework for implementation research (cfir), (2) assess the ability of the different constructs of cfir to distinguish between high and low implementation success, and (3) compare our findings with those from other studies that used the cfir to discriminate between high and low implementation success. methods: this study was based on individual interviews with 10 nurses, 6 physicians, and 1 nutritionist who had used the ippc to answer messages from patients. results: of the 36 cfir constructs, 28 were addressed in the interviews, of which 12 distinguished between high and low implementation units. most of the distinguishing constructs were related to the inner setting domain of cfir, indicating that institutional factors were particularly important for successful implementation. health care providers' beliefs in the intervention as useful for themselves and their patients as well as the implementation process itself were also important. a comparison of constructs across ours and 2 other studies that also used the cfir to discriminate between high and low implementation success showed that 24 cfir constructs distinguished between high and low implementation units in at least 1 study; 11 constructs distinguished in 2 studies. however, only 2 constructs (patient need and resources and available resources) distinguished consistently between high and low implementation units in all 3 studies. conclusions: the cfir is a helpful framework for illuminating barriers and facilitators influencing ippc implementation. however, cfir's strength of being broad and comprehensive also limits its usefulness as an implementation framework because it does not discriminate between the relative importance of its many constructs for implementation success. this is the first study to identify which cfir constructs are the most promising to distinguish between high and low implementation success across settings and interventions. findings from this study can contribute to the refinement of cfir toward a more succinct and parsimonious framework for planning and evaluation of the implementation of clinical interventions.$1
422$challenges; mobile phones; opportunities; paradox; use context; community health; face-to-face communications; patient information; phone batteries; resource-constrained; developing countries; hospitals; mobile telecommunication systems; telecommunication equipment; telephone; telephone sets; cellular telephone systems;implementing mobile phone solutions for health in resource constrained areas: understanding the opportunities and challenges;this paper presents results from a study on mobile phone use to connect two rural hospitals in malawi with community health workers (chws), the hospitals work with. mobile phone use at the hospitals has helped reduce the need for face-to-face communication to permit patient information exchange, meetings and appointments scheduling, as well as work coordination. on the other hand mobile phone use has proved paradoxical as it has introduced users to challenges, like recharging of phone batteries, they did not anticipate. the paper highlights use context-centric and solution based opportunities and challenges associated with mobile phone use in rural settings. © institute for computer sciences, social-informatics and telecommunications engineering 2010.$0
423$"change anticipation; design; e-health; generativity; installed base; robustness; users;technology innovation in the face of uncertainty: the case of ""my health record"";in this paper we address the challenges faced when new e-health components are introduced within an existing infrastructural arrangement by focusing on the delicate balance between immediate usefulness and forward-looking preparedness. while e-health solutions are currently seen as a core element of on-going health sector reforms in most european countries, much of the challenges related to their design, development and implementation remain understudied. based on an interpretive case study of technology innovation in the norwegian healthcare context, we study the practices of building and putting to use a novel web-based platform for communication between users and providers of healthcare services. in particular, we analyse the conceptual design, the association with the installed base, and the relationship with users as core enacting practices of the project team members. we make use of the concepts of generativity and robustness to bring into focus and articulate possible approaches for change anticipation."$1
424$change detection; classification; dermoscopy; malignant melanoma; segmentation; oncology; pattern recognition; signal detection; dermatology;a computer aided diagnostic system for malignant melanomas;we describe a system for automatic diagnosis of malignant melanoma based on digital dermoscopic images. the tool is designed for use with general practitioners, saving time and resources in the diagnostic process. a variety of indicative features are described mimicking the human approach for diagnosis. segmentation, pattern recognition, and change detection are the important steps in our approach. ©2010 ieee.$1
425$"change management; electronic medication management system; electronic patient record; information infrastructure; standardization; automated packaging; change process; clinical practices; electronic charts; implementation projects; information infrastructures; medication management; new applications; robot technology; sociotechnical; strategic plan; workplace studies; computer supported cooperative work; hospitals; interactive computer systems; information management;electronic medication management - a socio-technical change process in clinical practice;this paper presents a workplace study of the implementation and use of an electronic medication management system (emms) at a university hospital in norway. the strategic plan at the hospital was a fully computerized medication process that included a new application in the electronic patient record (epr), as well as a fully automated packaging, dispensing, and distributing system using robot technology. a breakdown in the initial phase of the implementation project opened ""pandora's box"" and helped visualize the relationship between coordinative practices and artifacts that took place in the new medication management process. specifically, this paper highlights the redesign of the emms as a consequence of the breakdown that led to the development of an electronic chart. furthermore, the paper characterizes this change process as a transformation in a socio-technical (material) network in which adjustment and innovation are ongoing processes in daily practice. © 2012 acm."$1
426$change; communities of practice; innovation; power relations; knowledge; organizations; professionals; technology; boundaries; work; business & economics;challenging expertise: on power relations within and across communities of practice in medical innovation;this article addresses the question of how practices perform power effects within and across communities of practice. it does so by drawing on a study of two medical innovation projects leading to radical changes of practice. situated learning theory has to some degree acknowledged the asymmetry in power between masters and apprentices. meanwhile, this study suggests that the novelty of new practices may lead to a contestation of the established master-apprentice relationship and even challenge the basis of the community of practice itself. we therefore argue that innovation processes may highlight the political processes and negotiations already at play in communities of practice. hence, we investigate how communities of practice tried to control the new practices through mobilizing arguments, marginalizing opponents and building alliances. consequently, the article argues that changing practices may be highly political.$1
427$channel access; channel availability; csma-ca; delivery ratio; hidden terminal; mac layer protocols; mac protocol; medical sensors; multi rate; noisy environment; packet scheduler; probabilistic models; show through; wireless biomedical sensor network; biosensors; carrier sense multiple access; computer simulation; random errors; sensor networks; wireless sensor networks;a decentralized mac layer protocol with periodic channel access evaluated with presence of interference;despite tremendous development in wireless sensor networks, the abilities are far from fully leveraged in the case of the transmission of medical sensor data. we investigate how a heterogeneous medical wireless sensor network, generating periodic data from different medical sensors, can be optimized in terms of throughput and delivery ratio. by utilizing the property of periodicity, we have implemented a packet scheduler that can, in a decentralized manner, predict the channel availability with a given probabilistic model. we evaluate the periodic mac protocol for multirate wireless biomedical sensor networks where we show through simulation how the assumption of periodicity will be affected by errors caused by noisy environments and hidden terminals. the results show that, when influenced by random errors, the assumption of periodicity does not cause significantly higher degradation of performance than regular csma-ca, and the protocol has a significant advantage over regular csma-ca when hidden terminals are present. ©2009 ieee.$0
428$channel modeling; computer communication networks; hemodynamics; software design; software validation; wireless sensor network; air leakage; clinical decision support; clinical tests; ecg sensors; ieee 802.15.4; ism bands; medical radar; non-invasive sensors; point of care; point-to-point transmissions; process control software; project objectives; pulse oximeters; qualitative assessments; radio frequencies; radio frequency channels; radiofrequency signals; real time; research institutions; sensor data; shadowing effects; software company; technology start-up; wireless communications; wireless personal area networks; wireless sensor; wireless sensor data; work patterns; base stations; blood pressure; decision support systems; industry; oximeters; patient monitoring; radio waves; standards; surgery; telecommunication networks; wireless sensor networks; wireless telecommunication systems; sensors;a biomedical wireless sensor network for hemodynamic monitoring;in the biomedical wireless sensor network (bwsn) project a consortium of scandinavian research institutions, technology startup companies, sensor producers, software companies and a hospital based clinical test facility collaborated for 36 months. a portfolio of multiple, experimental wireless sensor prototypes were implemented in sophisticated process control software modified for the project. the project objective was to facilitate real time and historical point-of-care sensor data for clinical decision support and monitoring in hemodynamic treatment. the wireless communication platform and results from clinical tests are presented in this paper. the radio frequency platform used in the project was operating in the 2.4 ghz ism band based on the ieee 802.15.4 wireless personal area network standard. invasive sensors included a non-disposable blood pressure sensor, an epicardial 3- axis accelerometer and a digital pulmonary air leakage system. non-invasive sensor signals came from an ecg sensor, a pulse oximeter, a medical radar and a temperature sensor. point-to-point transmission of radio frequency signals from sensors to base stations and onwards in the biomedical wireless sensor network (bwsn) architecture was scrutinized during experimental surgery. a qualitative assessment of the sensor data presentation was made. occurrence of shadowing effects influencing the radio frequency channel performance was quantified. the shadowing effects were caused by the dynamic work pattern of the clinical team in combination with stationary equipment in the operating room during surgery. the shadowing effects were not found to compromise the quality of the wireless sensor data. shadowing parameters to reconstruct our measurements and model the communication links between individual sensors and two separate base stations are provided. © 2010 acm.$0
429$channel modelling; computer communication networks; critical care; software design; software validation; wireless sensor networks; clinical decision support; radio frequency channels; three axis accelerometers; wireless personal area networks; base stations; body sensor networks; decision support systems; network architecture; oximeters; radio waves; standards; surgery; telecommunication networks; sensors;short-range wireless sensor network for critical care monitoring;a scandinavian research consortium collaborated to develop a wireless clinical monitoring platform. a collection of experimental wireless sensor prototypes were implemented in complex, process-control software modified for the project. the objective was to facilitate real-time and historical point-of-care sensor data for clinical decision support in critical care. the shortrange wireless radio frequency platform used in the project was the ieee 802.15.4 wireless personal area network standard. invasive sensors included an arterial blood pressure sensor, an epicardial three-axis accelerometer and a digital pulmonary air leakage system. non-invasive sensor signals came from an electrocardiogram sensor, a pulse oximeter, a medical radar prototype and a temperature sensor. radio frequency signals from sensors to base stations and onwards in the wireless sensor network architecture were scrutinised during experimental surgery. qualitative assessment of the sensor data presentation was made. shadowing effects influencing the radio frequency channel performance was quantified. the shadowing effects were caused by the dynamic work pattern of the clinical team in combination with stationary equipment in the operating room during surgery. shadowing effects did not compromise the quality of wireless sensor data severely. an evaluation of the communication links between individual sensors and two separate base stations are provided in this paper. © 2013 inderscience enterprises ltd.$0
430$chief information officers; cios; factor analysis; health information technology; hit; implementation; information technology; it; managers; sfs; success factors; human; manager; medical information;exploring health information technology implementation success factors: a comparative investigation in nordic countries;the implementation of health information technology (hit) can improve the quality and efficiency of healthcare services. there is a gap in terms of generalising and systematising the results of previous research and in understanding hit implementation worldwide. the majority of studies on hit implementation have been conducted in north america, most of which are case studies or other qualitative research. in this research, we surveyed it managers in nordic healthcare and used factor analysis to uncover success factor groups. six groups emerged: culture conducive to change, quality of system and service, collaboration, alignment, end-user involvement, and management commitment. we found that it managers in nordic countries have different opinions regarding success factors (sfs) related to cultural issues. however, they strongly agree on the importance of most of the sfs. therefore, an internationally applicable set of recommendations for hit implementation could be within the realm of possibility. copyright © 2016 inderscience enterprises ltd.$1
431$child behavior problems; family process; parent management training—oregon model; parent training;parent management training—oregon model: adapting intervention with rigorous research;parent management training—oregon model (pmto®) is a set of theory-based parenting programs with status as evidence-based treatments. pmto has been rigorously tested in efficacy and effectiveness trials in different contexts, cultures, and formats. parents, the presumed agents of change, learn core parenting practices, specifically skill encouragement, limit setting, monitoring/supervision, interpersonal problem solving, and positive involvement. the intervention effectively prevents and ameliorates children's behavior problems by replacing coercive interactions with positive parenting practices. delivery format includes sessions with individual families in agencies or families' homes, parent groups, and web-based and telehealth communication. mediational models have tested parenting practices as mechanisms of change for children's behavior and found support for the theory underlying pmto programs. moderating effects include children's age, maternal depression, and social disadvantage. the norwegian pmto implementation is presented as an example of how pmto has been tailored to reach diverse populations as delivered by multiple systems of care throughout the nation. an implementation and research center in oslo provides infrastructure and promotes collaboration between practitioners and researchers to conduct rigorous intervention research. although evidence-based and tested within a wide array of contexts and populations, pmto must continue to adapt to an ever-changing world. © 2016 family process institute$0
432$child protection; decision making; dependency hearings; participation; protective care;representation of children's views in court hearings about custody and parental visitations - a comparison between what children wanted and what the courts ruled;purpose: following the un convention on the rights of children, a shift in policy towards greater emphasis on child participation in child protection case processing has occurred. a growing body of research has emerged concerning participation processes in child protection cases and the experiences of children in child protection cases. very few studies have looked into if and when children get what they want, however. the aim of this study is to assess children's views about living arrangements and visitations in dependency court hearings and to compare these views with the rulings of courts. method: the study uses a retrospective cohort design. cases where child welfare board rulings are in line with the wishes of children are compared to cases where rulings differ from the wishes of children. data were collected from regional social welfare board archives. the study included 151 cases that were randomly drawn from a total population of 2481 cases. simple and multivariate logistic regression was used to identify factors associated with the rulings being in accord with the child's wishes in each sample case. results: a child advocate was appointed in almost 95% of the cases (n=142). fifty-nine percent of the children did not want a change in care. rulings about care were in line with the wishes of the child in 39% of the cases. rulings about care were most likely to be what the child wanted, if the child was presently living in public care and did not want to move. children wanted more visitations with their mothers in 60.5% of the cases and with their fathers in 39.8% of the cases. whether children wanted more visitations with their mothers was associated with more visitations being granted. what a child wanted was not associated with the ruling on visitations with the child's father. conclusion: the impact of children's views on visitations on dependency court rulings depends on what a child wants and how these desires coincide with what is proposed by child protection services. children's views can be quite effective in blocking certain decisions but are less effective if the child requested a specific change. if a child does not want to stay with his or her birth parents, then the odds that the birth parents will be granted custody is minimal. © 2013 elsevier ltd.$0
433$child protection; decision-making; engagement; organizations; participation; planning;organizational factors and child participation in decision-making: differences between two child welfare organizations;children in residential care tend to be less content with the quality of care arrangements and participation opportunities compared to children in foster care. this study explored possible differences in social workers' views about child participation and service quality. hierarchical regression analyses were used to test if any differences may be explained by collaboration between professionals' and social workers' work engagement. we found that social workers from residential care services seem more prudent in letting children participate in case planning compared to social workers planning for foster care. social workers' judgements of service quality were also highly affected by their organizational affiliation, but personal factors such as work engagement may also play a part. the differences we found regarding social workers' attitudes towards participation and their rating of service quality are associated with organizational culture. understanding how organizations shape social workers' decisions to include or exclude children in care planning may help gain a more comprehensive understanding of what is needed to take the participation agenda forward. © 2013 john wiley & sons ltd.$0
434$"child sexual abuse; dialogical research; first signs; sexual abuse disclosure;test balloons? small signs of big events: a qualitative study on circumstances facilitating adults' awareness of children's first signs of sexual abuse;this research examined caregivers' awareness of children's first signs of sexual abuse. the aim was to explore circumstances that facilitate adults' awareness of first signs in everyday natural settings. data were obtained from a norwegian university hospital's outpatient specialty mental health clinic. included were all cases (n = 20) referred during a two-year period for treatment after the disclosure of sexual abuse that was reported to the police and child protective service. nonabusing caregivers' awareness of first signs were recollected in hindsight as part of therapy. qualitative analysis was conducted to capture caregivers' experiences. as identified by caregivers, all children gave signs. thereafter, children either stopped, delayed, or immediately disclosed sexual abuse. at first signs, each child had time and attention from trusted adults, connection to the abuser, and exhibited signs of reservation against that person or related activities. then, if met with closed answers, first signs were rebuffed as once-occurring events. if met with open answers and follow-up questions, children continued to tell. unambiguous messages were prompted only in settings with intimate bodily activity or sexual abuse related content. in sum, when trusted adults provided door-openings, children used them; when carefully prompted, children talked; when thoughtfully asked, children told. the study suggests that children's signs of sexual abuse can be understood as ""test balloons"" to explore understanding and whether anything is to be done. a disclosing continuation hinges on the trusted adult's dialogical attunement and supplementary door-openings. divergent from an idea of behavioural markers, or purposeful versus accidental disclosures, this study calls for a broader attention: moments of first signs are embedded in dialogue. a uniqueness at moments of first signs appears: both to form such moments and to transform them into moments of meeting for joint exploration and telling, hinge upon how trusted caregivers scaffold opportunities for the child to disclose. subsequently, support offers need to be addressed not only to strengthen children to tell, but also for caregivers and professionals to take into account the necessity of a dialogically oriented sensitivity towards children, both for telling to occur and for hearing to take place. © 2013 the authors."$0
435$"childhood asthma management; economic evaluation; health services; research; telemedicine; burden; care; telemedicine; education; symptoms; children; allergy; respiratory system;a randomized controlled trial of an interactive voice response telephone system and specialist nurse support for childhood asthma management;objectives. to evaluate the effects of an automated interactive voice response system (ivr) and specialist nurse support to reduce health care utilization and improve health-related quality of life in children with asthma. study design. a randomized controlled trial in 121 children with doctor-diagnosed asthma and an acute presentation with asthma in the previous 12 months aged between 3 and 16 years. children were randomized to one of three groups for a 6-month intervention receiving asthma education and management support from a specialist nurse by telephone or e-mail (n = 41), from ivr (n = 39), or receiving usual care (control group; n = 41). outcomes included health care utilization and use of oral steroid rescue. health-related quality of life (hrqol) data using the pediatric asthma quality of life questionnaire and pediatric quality of life inventory were collected at baseline and at the end of the study. results: there was no statistically significant benefit identified for either the ivr or the nurse support interventions for health care utilization, use of oral steroid rescue, or hrqol compared with controls. relative to controls, the incremental costs were -a$225.73 (95% confidence interval [ci]: -a$840, a$391) per child for the nurse support intervention and -a$451.45 (-a$1075, a$173) per child for ivr. the results were most sensitive to the frequency of admissions to hospital. conclusion. this study suggested that both ivr and nurse support interventions may be cost-saving from a health system perspective, with ivr providing the greatest benefit and this pilot study provides a strong basis for developing larger trials with longer follow-up."$0
436$children; co-design; interactive spaces; participatory design; storytelling; co-designs; design; human computer interaction; three dimensional; museums;child-to-child (c2c): design of interactive 3d book space for children's museum;in this paper, we present a child-to-child method (c2c) for co-designing with children for younger children. the method is illustrated using a design case, where an interactive space for young children in children's museum was designed. three-dimensional interactive books are envisioned and explored with children, and consequently embedded into the 'book nook' exhibit. this interactive environment was developed and prototyped by an intergenerational design team. the paper reflects upon challenges and opportunities provided by working with c2c method and presents results of preliminary investigation of an interactive space design that employs a novel concept of a 3d book. © 2013 iadis.$0
437$children; family; gamification; housework; motivation; parents; artificial intelligence; computer science; computers;gamification and family housework applications;this conceptual work represents an initial exploration into a little researched area, namely app design for families. we explore how gamification is incorporated in applications that target family housework, also known as chores. during the last five years an increasing number of apps aim to transform routine based housework into entertaining activities. many parents think it is important that children, at an early age, learn about family values and responsibilities that comes with the role as a family member. however, a gamified approach towards housework can influence family interaction in both positive and negative ways. we analyze a selection of so-called chore apps by building on an existing classification framework for educational apps and applying concepts of game design elements. our findings show (1) that existing apps tend to be mostly instructive and partly manipulable, (2) that they tend to focus on external rather than intrinsic motivation, (3) that they target family members individually, rather than the family as a whole. we discuss the results from a motivation perspective by drawing attention to three concepts that relate to intrinsic motivation: competence, autonomy and relatedness. © ifip international federation for information processing 2015.$0
438$children's and adolescent's health; ehealth; eregistries; health surveillance; health systems; mhealth; women's;eregistries: electronic registries for maternal and child health;background: the global roadmap for health measurement and accountability sees integrated systems for health information as key to obtaining seamless, sustainable, and secure information exchanges at all levels of health systems. the global strategy for women's, children's and adolescent's health aims to achieve a continuum of quality of care with effective coverage of interventions. the who and world bank recommend that countries focus on intervention coverage to monitor programs and progress for universal health coverage. electronic health registries - eregistries - represent integrated systems that secure a triple return on investments: first, effective single data collection for health workers to seamlessly follow individuals along the continuum of care and across disconnected cadres of care providers. second, real-time public health surveillance and monitoring of intervention coverage, and third, feedback of information to individuals, care providers and the public for transparent accountability. this series on eregistries presents frameworks and tools to facilitate the development and secure operation of eregistries for maternal and child health. methods: in this first paper of the eregistries series we have used who frameworks and taxonomy to map how eregistries can support commonly used electronic and mobile applications to alleviate health systems constraints in maternal and child health. a web-based survey of public health officials in 64 low- and middle-income countries, and a systematic search of literature from 2005-2015, aimed to assess country capacities by the current status, quality and use of data in reproductive health registries. results: eregistries can offer support for the 12 most commonly used electronic and mobile applications for health. countries are implementing health registries in various forms, the majority in transition from paper-based data collection to electronic systems, but very few have eregistries that can act as an integrating backbone for health information. more mature country capacity reflected by published health registry based research is emerging in settings reaching regional or national scale, increasingly with electronic solutions. 66 scientific publications were identified based on 32 registry systems in 23 countries over a period of 10 years; this reflects a challenging experience and capacity gap for delivering sustainable high quality registries. conclusions: registries are being developed and used in many high burden countries, but their potential benefits are far from realized as few countries have fully transitioned from paper-based health information to integrated electronic backbone systems. free tools and frameworks exist to facilitate progress in health information for women and children. â© 2016 frã¸en et al.$1
439$chlorine compounds; health; information services; software prototyping; technical presentations; web services; agile software development; architectural frameworks; clinical research; computer-based medical systems; genomic era; heterogeneous sources; information systems; international symposium; new opportunities; open-source technology; process support; service-oriented; service-oriented architecture; user feedbacks; integration;a service-oriented architectural framework for the integration of information systems in clinical research;integration of data from heterogeneous sources has been a problem in medicine over decades. in the post-genomic era, new opportunities have emerged and created new challenges, e.g. when genotypes and phenotypes have to be associated. we have developed a concept for integrating data from systems in clinical and in research environments, with a specific focus on process support. our solution is following a mediatorbased approach, realized in a service-oriented architecture using web services. in order to cope with complexity and changing requirements, and to make early user feedback possible, a tool-based agile software development process has been carried out for building a prototype. open-source technology has been used for the implementation. © 2008 ieee.$1
